2026-03-23 00:10:35,670 | INFO     | transformer_pipeline | [transformer] VIC: transferred pre-trained weights
2026-03-23 00:10:44,523 | INFO     | transformer_pipeline | [transformer] VIC fine-tune TEST: AUC=0.4291  Acc=0.3197
2026-03-23 00:10:44,799 | INFO     | pipeline |   Transformer val predictions ready: 96 samples
2026-03-23 00:10:44,808 | INFO     | tuner | Tuning 4-model ensemble weights (XGB+LGBM+LSTM+Transformer)...
2026-03-23 00:10:45,397 | INFO     | tuner | 4-model weights: {'xgb': 0.7504515110012157, 'lgbm': 0.15043423452342092, 'lstm': 0.002909810413465414, 'transformer': 0.09620444406189792}  AUC=0.7098
2026-03-23 00:10:45,412 | INFO     | pipeline |   TEST VIC  AUC=0.4286  Acc=0.3542
2026-03-23 00:10:45,421 | INFO     | models | Saved ensemble for VIC h=5
2026-03-23 00:10:45,422 | INFO     | pipeline | --- HPG -----------------------------------
2026-03-23 00:10:45,483 | INFO     | features | Feature matrix: 738 rows × 108 columns
2026-03-23 00:10:45,484 | INFO     | target_engineering |   Vol-adjusted labels: 69.8% of rows kept (threshold=0.3x daily vol, dropped 30.2% near-zero moves)
2026-03-23 00:10:45,486 | INFO     | target_engineering |   Vol-adjusted labels: 82.4% of rows kept (threshold=0.3x daily vol, dropped 17.6% near-zero moves)
2026-03-23 00:10:45,487 | INFO     | target_engineering |   Vol-adjusted labels: 84.7% of rows kept (threshold=0.3x daily vol, dropped 15.3% near-zero moves)
2026-03-23 00:10:45,488 | INFO     | target_engineering |   Vol-adjusted labels: 87.7% of rows kept (threshold=0.3x daily vol, dropped 12.3% near-zero moves)
2026-03-23 00:10:45,495 | INFO     | pipeline |   Splits: train=439, val=93, test=93
2026-03-23 00:10:45,620 | INFO     | target_engineering |   Feature selection: kept 40/99 features (dropped 59 low-importance)
2026-03-23 00:10:45,621 | INFO     | tuner | Tuning XGBoost (60 trials)...
2026-03-23 00:10:59,415 | INFO     | tuner | XGB best AUC: 0.7799  params={'n_estimators': 647, 'max_depth': 6, 'learning_rate': 0.08764729037424172, 'subsample': 0.6068149389027152, 'colsample_bytree': 0.6778581386702812, 'min_child_weight': 10, 'gamma': 0.56549175907613, 'reg_alpha': 0.5667637413624098, 'reg_lambda': 4.973308831661543, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}
2026-03-23 00:10:59,415 | INFO     | tuner | Tuning LightGBM (60 trials)...
